owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts
0cfoyoxq,9pqvaeel,3,sellingDialogShown,2021-11-10 01:50:15.538929+00:00,"{""currentPrice"": 21, ""priceIndex"": 7, ""secs_since_round_starts"": 23}",TRUE,0.03,FALSE,21,7,23
2wututnc,9pqvaeel,9,Trade_ends,2021-11-10 01:50:15.849117+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 6}",FALSE,0.06,FALSE,0,2,6
7gobkypf,9pqvaeel,5,Trade_ends,2021-11-10 01:50:17.079197+00:00,"{""currentPrice"": 0, ""priceIndex"": 3, ""secs_since_round_starts"": 9}",FALSE,0.06,FALSE,0,3,9
0cfoyoxq,9pqvaeel,3,Sell,2021-11-10 01:50:18.798933+00:00,"{""currentPrice"": 21, ""priceIndex"": 7, ""secs_since_round_starts"": 27}",TRUE,0.03,FALSE,21,7,27
0cfoyoxq,9pqvaeel,3,Trade_ends,2021-11-10 01:50:18.854537+00:00,"{""currentPrice"": 21, ""priceIndex"": 7, ""secs_since_round_starts"": 27}",TRUE,0.03,FALSE,21,7,27
ncik57ga,9pqvaeel,4,Trade_ends,2021-11-10 01:50:20.738097+00:00,"{""currentPrice"": 0, ""priceIndex"": 9, ""secs_since_round_starts"": 18}",TRUE,0.06,FALSE,0,9,18
7gobkypf,9pqvaeel,6,Trade_starts,2021-11-10 01:50:20.956385+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
2wututnc,9pqvaeel,9,round_ends,2021-11-10 01:50:21.895536+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 12}",FALSE,0.06,FALSE,0,2,12
0cfoyoxq,9pqvaeel,4,Trade_starts,2021-11-10 01:50:23.582840+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.06,FALSE,10,0,0
ngab0n17,9pqvaeel,5,sellingDialogShown,2021-11-10 01:50:23.743050+00:00,"{""currentPrice"": 17, ""priceIndex"": 4, ""secs_since_round_starts"": 13}",TRUE,0.06,FALSE,17,4,13
ngab0n17,9pqvaeel,5,Sell,2021-11-10 01:50:24.944999+00:00,"{""currentPrice"": 17, ""priceIndex"": 4, ""secs_since_round_starts"": 14}",TRUE,0.06,FALSE,17,4,14
ngab0n17,9pqvaeel,5,Trade_ends,2021-11-10 01:50:25.053632+00:00,"{""currentPrice"": 17, ""priceIndex"": 4, ""secs_since_round_starts"": 14}",TRUE,0.06,FALSE,17,4,14
ngab0n17,9pqvaeel,5,round_ends,2021-11-10 01:50:26.193155+00:00,"{""currentPrice"": 17, ""priceIndex"": 4, ""secs_since_round_starts"": 16}",TRUE,0.06,FALSE,17,4,16
ngab0n17,9pqvaeel,6,Trade_starts,2021-11-10 01:50:28.821757+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
